Título,Calificación,Géneros,Duración,Clasificación por edades,Director,Año,Reparto
Crawl,54%  4.6 (1k),"Misterio & Suspense, Crimen",1h 20min,,Paul China,(2013),", Lauren Dillon, George Shevtsov, Paul Holmes, Georgina Haig, Bob Newman, Paul Bryant, John Rees-Osborne, Penny Anne Hoffmann"
Clemency,72%  6.5 (4k),Drama,1h 52min,,Chinonye Chukwu,(2020),", Alfre Woodard, Richard Schiff, Aldis Hodge, Wendell Pierce, Danielle Brooks, Michael O'Neill, Richard Gunn, LaMonica Garrett, Vernee Watson-Johnson, Dennis Haskins, John Churchill, Alex Castillo, Alma Martinez, Michelle Bonilla, Jed Bernard, William B. Simmons II, Noshir Dalal, Debbie Pollack, Vivan Dugré, Maurice Williams, Harvey B. Jackson, Dan Lawler, Joe Ordaz, Zedric Harris, Melissa Harris, Ruth Banks Mataya, Stephanie Ugo, Shannon Burwell, Anahi Bustillos, Carlis Shane Clark, Wayne Cole, Justus Cooke, R Scott Hoffman, Camryn Howard, Paul Mabon, Bex Marsh, Brandon Garic Notch, Teresa Tharp"
Good Boy,29%,"Misterio & Suspense, Drama",16min,,Chris Coats,(2016),", Frank Martinelli, Nicholas Tucci, Blake Burt, Gage Rothstein, Jance Enslin, Cliff Weissman, Toni Christopher, Eric Unger"
LA 92,86%  8.2 (6k),"Historia, Documental, Crimen",1h 54min,,"Daniel Lindsay ,  T.J. Martin",(2017),", Rodney King, George H.W. Bush, Bill Clinton, Ted Koppel, Edward James Olmos, Maxine Waters, Tom Bradley, Danny Bakewell Sr., Soon Ja Du, Daryl Gates, Tom Brokaw, John Drummond Barnett"
Frankie,59%  5.5 (1k),"Drama, Romance, Europeas",1h 38min,12,Ira Sachs,(2019),", Isabelle Huppert, Brendan Gleeson, Greg Kinnear, Marisa Tomei, Jérémie Renier, Pascal Greggory, Ariyon Bakare, Vinette Robinson, Carloto Cotta, Mikaela Lupu, Mercês Borges, Sennia Nanua, Ana Brandão, Joana Cunha Ferreira, Duarte Ferreira"
Shirley,67%  6.1 (11k),"Misterio & Suspense, Drama, Terror",1h 47min,16,Josephine Decker,(2020),", Elisabeth Moss, Odessa Young, Michael Stuhlbarg, Logan Lerman, Victoria Pedretti, Robert Wuhl, Paul O'Brien, Orlagh Cassidy, Bisserat Tseggai, Allen McCullough, Tony Manna, Molly Fahey, Edward O'Blenis, Ryan Spahn, Emily Decker, Alexandria Sherman, Ava Langford, Thomas Racek, Lexa Hayes, Adelind Horan, Steve Vinovich"
Above and Beyond,82%  7.7,"Documental, Acción & Aventura, Historia, Guerra",1h 30min,,Roberta Grossman,(2015),", Paul Reubens, Jd Roth-round, Harold Livingston"
Almost Adults,65%  5.7 (2k),"Drama, Comedia",1h 30min,,Sarah Rotella,(2017),", Natasha Negovanlis, Elise Bauman, Justin Gerhard, Winny Clarke, Mark Matechuk, David John Phillips, Raechele Lovell, Meredith Heinrich, Daryl Marks, Delphine Roussel, Neil Affleck, Christina Song, Gwenlyn Cumyn, Jordan Watson, Gráinne O'Flynn, Alys Crocker, Danny Bruzzi, Dave Roberts"
Spider-Man,82%  7.4 (823k),"Fantasía, Acción & Aventura, Ciencia ficción",2h 1min,APTA,Sam Raimi,(2002),", Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco, Cliff Robertson, Rosemary Harris, J.K. Simmons, Joe Manganiello, Gerry Becker, Bill Nunn, Jack Betts, Stanley Anderson, Ron Perkins, Michael Papajohn, K.K. Dodds, Ted Raimi, Bruce Campbell, Elizabeth Banks, John Paxton, Tim DeZarn, Taylor Gilbert, Randy Poffo, Larry Joshua, Timothy Patrick Quill, Lisa Danielle, Natalie T. Yeo, Erica D. Porter, Kristen Davidson, Jason Padgett, Shan Omar Huey, Sally Levi, Evan Arnold, Jill Sayre, Jim Ward, David Holcomb, Octavia Spencer, Brad Grunberg, Shane Habberstad, Deborah Wakeham, Rachael Bruce, Mackenzie Bryce, Julia Barrie, Macy Gray, Myk Watford, Bill Calvert, Sylva Kelegian, Kristen Marie Holly, Ajay Mehta, Peter Appel, Scott Spiegel, Matt Smith, Sara Ramirez, Lucy Lawless, Jayce Bartok, Maribel González, Amy Bouril, Joseph D'Onofrio, Jim Norton, Corey Mendell Parker, Ashley Edner, William Joseph Firth, Alex Black, Laura Gray, Joe Virzi, Michael Edward Thomas, Jeanie Fox, Robert Kerman, Stan Lee, Una Damon, Rick Avery, Peter Aylward, Jillian Clare, Chris Coppola, Jesse Heiman, Leroy Patterson, Benny Urquidez, Scott L. Schwartz, Jophery C. Brown, Brian J. Williams, Mark De Alessandro, Tia Dionne Hodge, Loren Janes, Andray Johnson, Martin Pfefferkorn, Tammi Sutton, Lindsay Thompson, Sean Valla, Pete Macnamara, Al Goto"
Spider-Man 2,81%  7.4 (658k),"Fantasía, Acción & Aventura, Ciencia ficción, Drama",2h 7min,7,Sam Raimi,(2004),", Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina, Rosemary Harris, J.K. Simmons, Donna Murphy, Daniel Gillies, Dylan Baker, Bill Nunn, Vanessa Ferlito, Aasif Mandvi, Willem Dafoe, Cliff Robertson, Ted Raimi, Elizabeth Banks, Bruce Campbell, Gregg Edelman, Elya Baskin, Mageina Tovah, Daniel Dae Kim, Hal Sparks, Joel McHale, Stan Lee, Kelly Connell, Brent Briscoe, Emily Deschanel, Jason Fiore-Ortiz, Scott Spiegel, Andy Bale, Christine Estabrook, Molly Cheek, John Paxton, Joy Bryant, Joanne Baron, Peter McRobbie, Timothy Jerome, Taylor Gilbert, Peter Vouras, Donnell Rawlings, Zachry Rogers, Ella Rogers, Louis Lombardi, Marc John Jefferies, Roshon Fegan, Brendan Patrick Connor, Reed Diamond, Dan Callahan, Elyse Dinh, John Landis, Tim Storms, Susie Park, Michael Edward Thomas, Anne Betancourt, Venus Lam, Bill E. Rogers, Joe Virzi, Jopaul Van Epp, Weston Epp, Peter Allas, Brianna Brown, Bill Calvert, Tony Campisi, Joey Diaz, Chloe Dykstra, Simone Gordon, Dan Hicks, Julia Max, Savannah Pope, Timothy Patrick Quill, Jill Sayre, Rickey G. Williams, Michael Arthur, Frank Bonsangue, Cindy Cheung, Phil LaMarr, Calvin Dean, Andre M. Johnson, Peter Cincotti, Peyton List, Spencer List, Troy Metcalf, Scott Ross, Bonnie Somerville, Wesley Volcy, Lou Volpe, Garrett Warren, Joseph M. Caracciolo, Tom Carey, Patricia M. Peters"
The 10 Year Plan,70%  6.1 (4k),"Comedia, Romance",1h 30min,18,J.C. Calciano,(2015),", Jack Turner, Michael Adam Hamilton, Moronai Kanekoa, Adam Bucci, Teri Reeves, Michael Rothhaar, Debra Wilson, Ben Palacios, Trevor Kuhn, Jesse Welch, Cedric Jonathan, Josh Wise, Matthew Bridges, Mattias Ramos, Nathan Peterson, Shane Young, Jeffrey Charbonneau, Connor Howe, Zack Schor, David John Walsh, John C. Anderson, Lee Anderson, Olga Antonova, Gretchen Beane, Raymond Burgas, Derrell Coakley, Richard Coley, Chad Dennis, Paul Draper, Michael Edwards, Silvia Esparza-Safran, Danny Fox, Jazz Hiuk, Matthew Kiel, Gregory Leonardo, Ana Laspetkovski, Nick Marietta, Rose Mazzola, Adrian Mendoza, Matthew Moran, Thomas Ohlson, Ashley Pierce, Meghan Ramsey, Evan Schmitt, Andrew Scully, James Singleton, John Suazo, Jeff Manabat, Chris Reid, Pablo Hernandez"
Women and Sometimes Men,46%  4.4,"Drama, Romance",1h 27min,,Lesley Demetriades,(2018),", Tasha Ames, Lindsey McKeon, Ian Shepard, Lesley Demetriades, Bonnie Swencionis, Abe Goldfarb, Paula Rossman, James K. Fulater, Renee Thrasher, Betsy Winchester, Jennifer Parkhill, Courtney Alana Ward, Ali Levin, Catie Humphreys, Sergi Robles, Alyssa Rossman-Rorman, Nikki Lowe, Nick Scalzo, Emmeline Wood, Rodrigo Marques, Gina Ward, Jacob Mondry, Maitland Waters, Muamar Halrowhani, Molly Johnson, Corey Gehrig, Andrew Medrano, Carolina Scheller Gererdin, Kurt Scheller, Malone Thomas"
This Mountain Life,72%  7.2,Documental,1h 17min,,Grant Baldwin,(2018),", Simon Beck, Martina Halik, Tania Halik, Barry Blanchard, Janina Kuzma"
The Tracker,49%  3.6,"Acción & Aventura, Misterio & Suspense",1h 30min,,Giorgio Serafini,(2019),", Dolph Lundgren, Marta Gastini, Cosimo Fusco, Anna Falchi, Marco Mazzoli, Bruno Bilotta, Giuseppe Nardone"
Drag Kids,51%  5.0,Documental,1h 19min,,Megan Wennberg,(2019),", Nemis Quinn Mélançon Golden, Olivia Bailey, Trinity Bailey, Victoria Bailey-Kerr, Jason Thomas Kerr, Bracken Hanke, Dominique Hanke, Stephan Hirst, Gregory Kerr, Megan Wennberg"
Premature,69%  6.5,"Drama, Romance, Música",1h 26min,,Rashaad Ernesto Green,(2020),", Zora Howard, Joshua Boone, Michelle Wilson, Alexis Marie Wint, Imani Lewis, Tashiana Washington, Nile Bullock, Myha'la Herrold"
Rocketman,80%  7.3 (177k),"Drama, Historia, Música",2h 1min,16,Dexter Fletcher,(2019),", Taron Egerton, Jamie Bell, Richard Madden, Bryce Dallas Howard, Gemma Jones, Stephen Graham, Steven Mackintosh, Tate Donovan, Charlie Rowe, Tom Bennett, Matthew Illesley, Kit Connor, Ophelia Lovibond, Rachel Muldoon, Celinde Schoenmaker, Harriet Walter, Jason Pennycooke, Jimmy Vee, Sharon D. Clarke, Evan Walsh, Peter O'Hanlon, Ross Farrelly, Sharmina Harrower, Aston McAuley, Alexia Khadime, Carl Spencer, Leon Delroy Williams, David Doyle, Dickon Tolson, Leigh Francis, Graham Fletcher-Cook, Sian Crisp, Guillermo Bedward, Max Mackintosh, Charles Armstrong, Barbara Drennan, Leon Cooke, Micah Holmes, Diana Alexandra Pocol, Layton Williams, Bern Collaço, Janice Cooke-Leonard, Laura Obiols, Giles Martin"
Top End Wedding,66%  6.3 (2k),"Comedia, Romance",1h 53min,,Wayne Blair,(2019),", Miranda Tapsell, Gwilym Lee, Kerry Fox, Ursula Yovich, Huw Higginson, Shari Sebbens, Elaine Crombie, Travis Jeffery, Dalara Williams, Matt Crook, Taylor Wiese, Josh McConville, Carmel Johnson, Tracy Mann, Julian Garner, Allan Anderson, Taylor Wiese, Shaka Cook, Wayne Blair, Rob Collins, Nikita Waldron"
Already Tomorrow in Hong Kong,69%  6.5 (5k),"Romance, Comedia",1h 19min,,Emily Ting,(2016),", Jamie Chung, Bryan Greenberg, Richard Ng, Sarah Lian, Ines Laimins, Emily Ting, Po-Chih Leong"
