Título,Calificación,Géneros,Duración,Clasificación por edades,Director,Año,Reparto
Solace,62%  7.2,"Drama, Misterio & Suspense",1h 16min,,Vandon N. Gibbs,(2013),", Russell Durham Comegys, Rhoda Griffis, Dupree Lewis Jr., Dixie Light, Robert Pralgo, Ric Reitz"
Sucker Punch,68%  6.0 (244k),"Misterio & Suspense, Acción & Aventura, Fantasía",1h 50min,16,Zack Snyder,(2011),", Emily Browning, Abbie Cornish, Jena Malone, Vanessa Hudgens, Jamie Chung, Carla Gugino, Oscar Isaac, Monique Ganderton, Jon Hamm, Scott Glenn, Gerard Plunkett, Richard Cetrone, Malcolm Scott, Ron Selmour, Revard Dufresne, Alan C. Peterson, Kelora Clingwall, Frederique De Raucourt, Lee Tomaschefski, Eli Snyder, Cainan Wiebe, Danny Bristol, Danielle Benton, Paula Giroday, Louise Hradsky, Daniela Dib, Brad Kelly, Peter Bryant, Patrick Sabongui, John R. Taylor, Chris Nowland, Ian Tracey, Sean Campbell, Michael Adamthwaite, Phillip Mitchell, Christine Willes, Gina Garenkooper, Gary A. Hecker, Maiko Miyauchi, Caitlin Goguen, Juliana Semenova, Allie Bertram, Vicky Lambert, Caroline Torti, Chantal Hunt, Carla Catherwood, Stephanie Sy, Kathryn Schellenberg, Annie Au, Tia Haraga, Hailley Caulfield"
The Apparition,49%  4.1 (20k),"Terror, Misterio & Suspense",1h 22min,16,Todd Lincoln,(2012),", Ashley Greene, Sebastian Stan, Tom Felton, Julianna Guill, Anna Clark, Suzanne Ford, Rick Gomez, Luke Pasqualino, Melissa Goldberg, Tim Williams, Meena Serendib, John Grady, Marti Matulis"
The Glass House,72%  7.2,Drama,1h 30min,,Tom Gries,(1972),", Alan Alda, Vic Morrow, Clu Gulager, Billy Dee Williams, Kristoffer Tabori, Dean Jagger, Scott Hylands, Edward Bell, Roy Jenson, Alan Vint, Luke Askew"
The Interview,71%  6.5 (336k),"Acción & Aventura, Comedia",1h 52min,16,"Seth Rogen ,  Evan Goldberg",(2014),", James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy Simons, Reese Alexander, James Yi, Paul Bae, Geoff Gustafson, Dominique Lalonde, Anesha Bailey, Anders Holm, Charles Rahi Chun, Don Chow, Jason Cox, Tommy Chang, Eminem, Ben Schwartz, Rob Lowe, Colin Foo, Larry Hoe, Cleo Yeh, Yuna Song, Fred Henderson, Dan Shea, Joe Mande, Alice Wetterlund, Stacey Turner, Sam Catlin, Alan Blumenfeld, Curt Clendenin, David Diaan, Joseph Gordon-Levitt, Nicki Minaj, James Kyson, Bill Maher, Seth Meyers, Emma Stone, Andrew Chin, Hazeltine Gariza, Peenkay Tang, John Coughlin"
The Last Castle,77%  6.9 (81k),"Acción & Aventura, Drama, Misterio & Suspense",2h 11min,12,Rod Lurie,(2001),", Robert Redford, James Gandolfini, Mark Ruffalo, Delroy Lindo, Clifton Collins Jr., Robin Wright, Kristen Shaw, Paul Calderon, Brian Goodman, Steve Burton, Sam Ball, Jeremy Childs, George W. Scott, Steve Sandfort, Michael Irby, Frank Military, David Alford, Dean Hall, Peg Allen, Rick Vito, Maurice Bullard, Forrest D. Bradford, Scott Michael, Dean Miller, Michael Q. Davis, Joe Keenan, David Chattam, Dan Cole, Hans Mooy, James-Justone-Thomas, Jamie Roberto Mantecon, Jeffery G. Fagan, Lyon Fleming, Darius Willis, Rico Moody, Rocky Abou-Sakher, Sean Cameron, Mary Jean Bentley, Michael Dinwiddie, Karen Espenant, Michelle Way"
The Manchurian Candidate,72%  6.6 (112k),"Drama, Ciencia ficción, Misterio & Suspense",2h 9min,18,Jonathan Demme,(2004),", Denzel Washington, Liev Schreiber, Meryl Streep, Vera Farmiga, Kimberly Elise, Jon Voight, Bruno Ganz, Simon McBurney, Jeffrey Wright, David Keeley, Dean Stockwell, Jude Ciccolella, Ann Dowd, Ted Levine, Miguel Ferrer, Charles Napier, Tom Stechschulte, Pablo Schreiber, Anthony Mackie, Robyn Hitchcock, Obba Babatundé, Zeljko Ivanek, Adam LeFevre, Jose Pablo Cantillo, Beau Sia, David Neumann, Joshua Elrod, Tymberly Canale, Marin Ireland, Shing Ka, Roger Corman, Joey Perillo, Sakina Jaffrey, Robert W. Castle, Bill Irwin, Paul Lazar, Al Franken, Tracey Walter, Sidney Lumet, Fab 5 Freddy, Kenneth Utt, Joe Alessi"
The Mexican,66%  6.1 (109k),"Acción & Aventura, Crimen, Romance, Comedia",1h 58min,12,Gore Verbinski,(2001),", Brad Pitt, Julia Roberts, James Gandolfini, J.K. Simmons, David Krumholtz, Bob Balaban, Gene Hackman, Michael Cerveris, Richard Coca, Castulo Guerra, Salvador Sánchez, Jeremy Roberts, José Carlos Rodríguez, Daniel Escobar, Sherman Augustus, Mayra Sérbulo, Alan Ciangherotti, Ernesto Gómez Cruz, Dale Raoul, Jorge Malpica, Pedro Armendáriz Jr., Steve Rossi, Clint Curtis, Lawrence Bender, Ariane Pellicer, Carlos Lacámara, Daniel Zacapa, Alfredo Escobar, Luis Artagnan, Fermín Martínez, Gustavo Aguilar Tejada, Lucía Pailles, Gilberto Barraza, Humberto Fernández Tristan, Luis Felipe Tovar, Fausta Torres, Loló Navarro, Emiliano Guerra, Miguel Ángel Fuentes, Angelina Peláez, Arthur Taxier, William Fuller, Gerardo Taracena, John Pisci, Rudy Aikels, Ronald Simone, Gloria M. Malgarini"
The Tenant,63%  6.6,Drama,1h 46min,,Sushrut Jain,(2021),", Shamita Shetty, Rudhraksh Jaiswal, Sheeba Chaddha, Swanand Kirkire, Harsh Mayar, Atul Srivastava, Akshat Singh, Divya Jagdale, Manish Anand"
Volcano,4%,,30min,,Peter Gidal,(2002),
Spell,67%  5.5 (8k),"Terror, Fantasía, Misterio & Suspense",1h 31min,16,Mark Tonderai,(2020),", Omari Hardwick, Loretta Devine, John Beasley, Peter Butler, Lorraine Burroughs, André Jacobs, Tumisho Masha, Ri-Karlo Handy, Hannah Gonera, Kalifa Burton, Steve Mululu"
Trigger Point,54%  4.3,Misterio & Suspense,1h 27min,,Philippe Gagnon,(2015),", Jordan Danger, Yani Gellman, Allie MacDonald, Daniel Rindress-Kay, Alain Goulem, Meghan Gabruch, Dusan Dukic, Jaa Smith-Johnson, Sean Colby, Cary Lawrence, Dawn Lambing"
Horizon Line,23%  4.8 (9k),"Drama, Terror, Misterio & Suspense, Acción & Aventura",1h 32min,7,,(2014),
Chaos Walking,69%  5.7 (49k),"Ciencia ficción, Acción & Aventura, Fantasía",1h 49min,12,Doug Liman,(2021),", Daisy Ridley, Tom Holland, Mads Mikkelsen, Demián Bichir, David Oyelowo, Kurt Sutter, Cynthia Erivo, Bethany Anne Lind, Nick Jonas, Ray McKinnon, Vincent Leclerc, Blane Crockarell, François Gauthier, Tyrone Benskin, Frank Fontaine, Don Jordan, Patrick Garrow, Mylène Dinh-Robic, Julian Richings, Tara Nicodemo, Harrison Osterfield, Yannick Lupien, Jad Saikali, Marc Primeau, Michael Dyson, Maxwell McCabe-Lokos, Stephen Eric McIntyre, Peter Seaborn, Jean Michel Paré, Bryce Bruckbauer"
In the Earth,61%  5.2 (9k),"Terror, Ciencia ficción, Misterio & Suspense",1h 47min,,Ben Wheatley,(2021),", Joel Fry, Ellora Torchia, Hayley Squires, Reece Shearsmith, John Hollingworth, Mark Monero"
Disobedience,75%  6.6 (32k),"Romance, Drama, Europeas",1h 54min,12,Sebastián Lelio,(2018),", Rachel Weisz, Rachel McAdams, Alessandro Nivola, Allan Corduner, Anton Lesser, Nicholas Woodeson, David Fleeshman, Steve Furst, Trevor Allan Davies, Sophia Brown, Anthony Dowding, Bernice Stegers, Clara Francis, Lia Cohen, Cara Horgan, Orlando Brooke, Dominic Applewhite, Omri Rose, Liza Sadovy, Ruth Lass, Alexis Zegerman, Benjamin Tuttlebee, Mark Stobbart, Caroline Gruber, Eliot Alderman, Adrian Alexander, Joseph Thompson, Gabriel Gottlieb, Aaron Isaac, Julian Sander, Jason Blair, Moshe Caplan, Eliot Berman, David Olawale Ayinde, Adam Lazarus, Dave Simon"
Feral State,47%  4.7 (2k),Misterio & Suspense,1h 18min,,Jon Carlo,(2022),", AnnaLynne McCord, Ronnie Gene Blevins, Octavio Pisano, Jaden Piner, Baldur Thor, Sif Saga"
Love and Monsters,79%  6.9 (130k),"Comedia, Acción & Aventura, Fantasía, Ciencia ficción",1h 50min,12,Michael Matthews,(2020),", Dylan O'Brien, Jessica Henwick, Michael Rooker, Dan Ewing, Ariana Greenblatt, Ellen Hollman, Tre Hale, Pacharo Mzembe, Senie Priti, Amali Golden, Te Kohe Tuhaka, Tasneem Roc, Thomas Campbell, Joel Pierce, Melanie Zanetti, Bruce Spence, Hazel Phillips, Miriama Smith, Andrew Buchanan, Tandi Wright, Damien Garvey, Julia Johnson, Ariu Lang Sio, Donnie Baxter, Helen Howard, Larry Cedar, Tonia Renee Hammerich, Keiichi Enomoto"
Blast Beat,67%  5.3,Drama,1h 45min,12,Esteban Arango,(2021),", Moisés Arias, Mateo Arias, Daniel Dae Kim, Kali Uchis, Diane Guerrero, Wilmer Valderrama, Teo Aguiar, Cristian Madrigal, Jeffrey Hans, Rosa Garavito, Martha Lucia, Sam Ashby, Jaime Matthis, Ezra Jeb Sexton, Ava Capri, Njema Williams, Ashley Jackson, Nikki Harada, Hassan Welch, Andrene Ward-Hammond, Chris Whitley, James Healy Jr., Zach Hanner, Julio Valencia, Renell Gibbs"
Homeroom,27%  5.8,Comedia,30min,,Peter Nicks,(1981),
The Force,73%  6.8,Documental,1h 20min,,Peter Nicks,(2017),
The Virtuoso,63%  4.9 (7k),"Misterio & Suspense, Acción & Aventura, Crimen",1h 45min,16,Nick Stagliano,(2021),", Anthony Hopkins, Anson Mount, Abbie Cornish, Diora Baird, Eddie Marsan, David Morse, Richard Brake, Chris Perfetti, Lory Molino, Shay Guthrie, Estelle Girard Parks, Jenna Hellmuth, Basil Kershner, Ryan Jonze, Blaise Corrigan"
The Waiting Room,76%  7.1,Documental,1h 21min,,Peter Nicks,(2014),
Every Breath You Take,64%  5.3 (5k),"Misterio & Suspense, Drama",1h 45min,12,Vaughn Stein,(2021),", Casey Affleck, Michelle Monaghan, Sam Claflin, Emily Alyn Lind, India Eisley, Hiro Kanagawa, Veronica Ferres, Lilly Krug, Vincent Gale, Brenden Sunderland"
First Knight,67%  6.0 (74k),"Acción & Aventura, Drama, Romance",2h 8min,,Jerry Zucker,(1995),", Sean Connery, Richard Gere, Julia Ormond, Ben Cross, Liam Cunningham, Christopher Villiers, Valentine Pelka, Colin McCormack, Ralph Ineson, John Gielgud, Stuart Bunce, Jane Robbins, Jean Marie Coffey, Paul Kynman, Tom Lucy, John Blakey, Robert Gwyn Davin, Sean Blowers, Alexis Denisof, Daniel Naprous, Jonathan Cake, Paul Bentall, Jonty Miller, Rob Brydon, Rose Keegan, Susannah Corbett, Richard Claxton, Mark Ryan, Jeffery Dench, Neville Phillips, Oliver Lewis, Wolf Christian, Angus Wright, Dido Miles"
My Bloody Valentine,70%  6.2 (22k),"Misterio & Suspense, Terror",1h 30min,18,George Mihalka,(1981),", Paul Kelman, Lori Hallier, Neil Affleck, Keith Knight, Cynthia Dale, Alf Humphreys, Helene Udy, Carl Marotte, Don Francks, Rob Stein, Thomas Kovacs, Peter Cowper, Terry Waterland, Jim Murchison, Gina Dick, Patricia Hamilton, Larry Reynolds, Jack Van Evera, Jeff Banks, Marguerite McNeil, Graham Whitehead"
The Hot Chick,67%  5.5 (97k),"Fantasía, Comedia",1h 44min,7,Aurora Martínez,(2002),
The Hunter,4%,Animación,7min,,Marieka Walsh,(2012),", Jack Finsterer"
Toy Soldiers,72%  6.6 (23k),"Acción & Aventura, Misterio & Suspense, Drama",1h 47min,13,Daniel Petrie Jr.,(1991),", Sean Astin, Wil Wheaton, Keith Coogan, Andrew Divoff, R. Lee Ermey, Mason Adams, Denholm Elliott, Louis Gossett Jr., George Perez, T.E. Russell, Shawn Phelan, Michael Champion, Tracy Brooks Swope, Max Manwell, Joe Inscoe, Jerry Lyden, René Gatica, Jeremiah McLerran, Jesse Doran, Carole Shoemaker, Adam Bonifant, Mark Retz, Richard Travis, Janet Lee Orcutt, Knowl Johnson, Rafael H. Robledo, Jerry Valdez, Russell Gannon, Richard Warner, Chris Northup, Joe Banks, Rick Warner, Sarah Stavrou, David Norris, Todd Bonifant, Mike Rogerson, Grady Weatherford, Darrell Elmore, Dennis Hunsinger, Cliff McLaughlin, Brian Williams, Jeff Ramsey, Nick Dimitri, Mark Brutsche, Cynthia Hayden, Denise Gordy, Michael Costello, Mimi Eisman, Lenny Steinline, Lloyd T. Williams, Jeremy Caplan, Roy Borden, John Shaw, Jerry Orbach"
Under the Tuscan Sun,75%  6.7 (54k),"Comedia, Romance, Drama",1h 53min,7,Audrey Wells,(2003),", Diane Lane, Sandra Oh, Lindsay Duncan, Raoul Bova, Vincent Riotta, Mario Monicelli, Roberto Nobile, Anita Zagaria, Evelina Gori, Kate Walsh, Giulia Louise Steigerwalt, Pawel Szajda, Valentine Pelka, Saša Vulićević, Massimo Sarchielli, Claudia Gerini, Geoffrey Rivas, Sean Kaplan, Nuccio Siano, David Sutcliffe, Laura Pestellini, Emiliano Novelli, Marit Nissen, Ralph Palka, Kristoffer Ryan Winters, Jeffery Jones, Vittorio Pecchillo, Don McManus, Elden Henson, Jack Kehler"
Watchmen,82%  7.6 (556k),"Ciencia ficción, Acción & Aventura, Misterio & Suspense, Drama",2h 42min,16,Zack Snyder,(2009),", Malin Åkerman, Patrick Wilson, Billy Crudup, Matthew Goode, Jackie Earle Haley, Jeffrey Dean Morgan, Carla Gugino, Laura Mennell, Matt Frewer, Stephen McHattie, Rob LaBelle, Gary Houston, James M. Connor, Mary Ann Burger, John Shaw, Robert Wisden, Jerry Wasserman, Don Thompson, Frank Novak, Sean Allan, Garry Chalk, Stephanie Belding, Michael Kopsa, William S. Taylor, Chris Burns, Malcolm Scott, Danny Wattley, Nhi Do, Walter Addison, David Mackay, Keith Martin Gordey, Fulvio Cecere, Ted Cole, Mark Acheson, John Destry, Chris Gauthier, L. Harvey Gold, Jay Brazeau, Jesse Reid, Manoj Sood, Dan Payne, Niall Matter, Apollonia Vanova, Glenn Ennis, Darryl Scheelar, Clint Carleton, Brett Stimely, Carrie Genzel, Greg Travis, Greg Armstrong-Morris, Andrew Colthart, Bruce Crawford, Sal Sortino, Eli Snyder, Lori Watt, Tony Bardach, Carmen Lavigne, J.R. Killigrew, Steven Stojkovic, Martin Reiss, Frank Cassini, John R. Taylor, Tara Frederick, Daryl Shuttleworth, Jaryd Heydrick, Ron Chartier, Carly Bentall, Matt Drake, Haley Guiel, Sonya Salomaa, Tyler McClendon, Salli Saffioti, Neil Schell, Michael Eklund, Deborah Finkel, Louis Chirillo, Marsha Regis, Patrick Sabongui, John Tench, Santo Lombardo, Jason Schombing, Darren Shahlavi, Marshall Virtue, Colin Lawrence, Chris Weber, Alessandro Juliani, Alison Araya, Sahar Biniaz, Matthew Harrison, Bernadeta Wrobel, Youri Obryvtchenko, Heidi Iro, Kit Noon, Parm Soor, Cristina Menz, Lynn Colliar, Tony Ali, Katie Bennison, Ian Farthing, Calvin Lee, Alexander Mandra, Isabelle Champeau, Ashley O'Connell, Mark Gash, Suzanne E. Smith, Agam Darshi, Tom McBeath, Kevin McNulty, Mark Docherty, Clay St. Thomas, Dale Wolfe, Ken Tremblett, Dawn Chubai, Manuelita Kinsey, Tamara Stanners, Sahara Davis, Dave Hospes, Greig Hospess, Ali Dunn, Jeffrey Frieler, Kurt Evans, Sylvesta Stuart, Terence Kelly, Mi-Jung Lee, Ted Friend, Tiffany Burns, Michael Adamthwaite, Danny Woodburn, Zack Snyder, Clay Enos"
The Resort,42%  3.1 (3k),Terror,1h 15min,,Taylor Chien,(2021),", Bianca Haase, Brock O'Hurn, Michael Vlamis, Michelle Randolph, Dave Sheridan, Dante Jimenez, Romualdo Castillo, Rodney Gemberling, Richard Teston, Andy Bumatai, Rebecca Jarvis, Casey Dacanay, Avery Pascual, Joaquin Veizaga, Kevin Petitto, Tomas Sanchez, Maria Olsen, Josh Willis, Lizze Gordon, Mason Dodson, Tim Wakefield, Nayeli Morales, Rafael López, Danika Massey, Brandon B. Graham, Will Meldman"
A Field in England,68%  6.2 (13k),"Acción & Aventura, Fantasía, Drama, Historia, Terror, Misterio & Suspense, Comedia",1h 30min,,Ben Wheatley,(2013),", Reece Shearsmith, Michael Smiley, Julian Barratt, Richard Glover, Ryan Pope, Peter Ferdinando, Sara Dee, Laura Obiols"
Borgman,72%  6.7 (18k),"Drama, Terror, Misterio & Suspense, Europeas",1h 53min,16,Alex van Warmerdam,(2013),", Jan Bijvoet, Hadewych Minis, Jeroen Perceval, Alex van Warmerdam, Tom Dewispelaere, Sara Hjort Ditlevsen, Dirkje van der Pijl, Annet Malherbe, Eva van de Wijdeven, Pieter-Bas de Waard, Elve Lijbaart, Gene Bervoets, Mike Weerts, Pierre Bokma, Benjamin Boe Rasmussen"
Bullhead,78%  7.3 (23k),"Drama, Europeas, Crimen",2h 9min,,Michaël R. Roskam,(2011),", Matthias Schoenaerts, Jeroen Perceval, Jeanne Dandoy, Barbara Sarafian, Tibo Vandenborre, Frank Lammers, Sam Louwyck, Erico Salamone, Philip Grand'Henri, Kris Cuppens, Kristof Renson, Bill Barberis, David Murgia, Stefaan Degand, Hein van der Heijden, Mike Reus, Juda Goslinga, Gaël Maleux, Renaud Rutten, Circé Lethem, Uwamungu Cornelis"
The Act of Killing,86%  8.2 (38k),"Documental, Europeas, Crimen, Historia, Guerra",2h 39min,16,"Joshua Oppenheimer ,  Christine Cynn",(2012),", Anwar Congo, Herman Koto, Syamsul Arifin, Ibrahim Sinik, Yapto Soerjosoemarno, Safit Pardede, Jusuf Kalla, Adi Zulkadry, Haji Anif, Sakhyan Asmara, Soaduon Siregar, Suryono, Haji Marzuki, Rahmat Shah"
The Connection,21%  3.3,Ciencia ficción,1h 30min,,Nicholas Naylor,(2021),", Zachary Vazquez, Laura Stetman, Brie Burke"
The Final Member,66%  6.5 (1k),"Documental, Comedia, Drama",1h 30min,,"Jonah Bekhor ,  Zach Math",(2014),", Sigurdur Hjartarson, Páll Arason, Tom Mitchell, Marci Bowers"
The FP,58%  5.4 (1k),"Comedia, Acción & Aventura, Drama, Europeas",1h 22min,,"Brandon Trost ,  Jason Trost",(2011),", Jason Trost, Lee Valmassy, Caitlyn Folley, Art Hsu, Nick Principe, Dov Tiefenbach, James DeBello, Brandon Barrera, Clifton Collins Jr., Sean Whalen, Mike Sandow, Rachel Robinson, Natalie Minx, Blayne Weaver, James Remar"
Barb and Star Go to Vista Del Mar,68%  6.3 (18k),Comedia,1h 47min,16,Josh Greenbaum,(2021),", Kristen Wiig, Annie Mumolo, Jamie Dornan, Damon Wayans Jr., Vanessa Bayer, Fortune Feimster, Phyllis Smith, Ian Gomez, Michael Hitchcock, Wendi McLendon-Covey, Kwame Patterson, Reyn Doi, Adrian Makala, Patrick Bristow, Jordan Black, Rachel Ramras, Rose Abdoo, Sergio Rogalto, Natasha Esca, Jennifer Giovannini, Samantha Beltrán, Carlos Bono, Marisol Gasé, Santiago Vázquez, Rodrigo Santacruz, Sofia Tennenbaum, Narjara Fuentes Alfonso, Kerry Ardra, Paulina Washington, Ariane Price, Alan Rubén Ramírez Gaytán, Andres Dardon, Gerry Bednob, Ernesto Godoy, Mark Jonathan Davis, Amy Keys, Nevada Arnold, Mike Miller, Elizabeth Kelly, Jayde Martinez, Arina Gancicova, Hank Rogerson, Karen Maruyama, Avi Rothman, Andy García, Josh Robert Thompson, David A. Nelson, Shannon Shea, Shantira Jackson, Carl Mergenthaler, Emilia García, Reba McEntire, April Wilson, Tom Lenk"
This Way Up,41%,"Comedia, Animación",9min,,"Adam Foulkes ,  Alan Smith",(2008),
Red Penguins,66%  6.8,"Documental, Deporte",1h 20min,16,Gabe Polsky,(2020),", Steven Warshaw, Valery Gushin, Victor Gusev, Howard Baldwin, Alexander Lyubimov, Tom Ruta, Alxander von Bush, Alimzhan Tokhtakhunov, Alexander Baranovsky"
Dreamcatcher,49%  2.5,"Terror, Misterio & Suspense",1h 30min,,Jacob Johnston,(2021),", Niki Koss, Zachary Gordon, Travis Burns, Blaine Kern III, Adrienne Wilkinson, Lou Ferrigno Jr., Ryan Powers, Al Calderon, Miss Benny, Olivia Sui"
Silk Road,69%  6.0,"Drama, Misterio & Suspense, Documental, Crimen, Romance, Europeas",1h 30min,,Mark de Cloe,(2017),", Olivia Lonsdale, Gijs Blom, Jonas Smulders, Phi Nguyen, Marcel Hensema, Melody Klaver, Ronald Top, Majd Mardo, Bart Harder, Nienke van Hofslot, Boyd Grund, Boy Ooteman, Fleur Voorn"
The Right One,65%  5.2,"Romance, Comedia",1h 36min,16,Ken Mok,(2021),", Iliza Shlesinger, Cleopatra Coleman, Nick Thune, David Koechner, Leanne Lapp"
68 Kill,67%  6.1 (5k),"Comedia, Crimen, Misterio & Suspense, Romance",1h 32min,,Trent Haaga,(2017),", Matthew Gray Gubler, AnnaLynne McCord, Alisha Boe, Sheila Vand, Sam Eidson, Lucy Faust, Eric Podnar, James Moses Black, Michael Beasley, Peter Jaymes, David Maldonado, Ajay Mehta, Kelly Connolly"
Almost Human,68%  6.7,"Documental, Ciencia ficción, Europeas",1h 31min,,Jeppe Rønde,(2020),", Stephen Fry, Hiroshi Ishiguro, Vincent F. Hendricks, Jacob Friis Sherson, Johanna Seibt, Andreas Roepstorff"
American Gun,64%  6.1 (3k),Drama,1h 35min,,Aric Avelino,(2007),", Forest Whitaker, Marcia Gay Harden, Donald Sutherland, Lisa Long, Chris Warren, Amanda Seyfried, Nikki Reed, Tony Goldwyn, Rex Linn, Davenia McFadden, Linda Cardellini, Schuyler Fisk, Melissa Leo, Dallas McKinney, Dean Norris, Michael Shannon, Chris Marquette, Joseph Kell, Garcelle Beauvais, James Morrison, Lee Garlington"
Big Fish,86%  8.0 (444k),"Fantasía, Drama, Romance",2h 5min,APTA,Tim Burton,(2004),", Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange, Helena Bonham Carter, Alison Lohman, Robert Guillaume, Marion Cotillard, Steve Buscemi, Danny DeVito, David Denman, Missi Pyle, Loudon Wainwright III, Deep Roy, Matthew McGrory, Arlene Tai, Ada Tai, Perry Walston, Hailey Anne Nelson, R. Keith Harris, Grayson Stone, Miley Cyrus, Karla Droege, Zac Gardner, John Lowell, Frank Hoyt Taylor, Billy Redden, James DeForest Parker, Russell Hodgkinson, Sallie Hedrick, Charles McLawhorn, Don Young, David Ramsey, Greg Hohn, Zach Hanner, Jeff Campbell, Bonnie Johnson, Joanne Pankow, Trevor Gagnon, Daniel Wallace, Jake Brake, L.C. Holt, Will Thomas"
Bohemian Rhapsody,87%  7.9 (544k),"Drama, Música",2h 15min,12,Bryan Singer,(2018),", Rami Malek, Gwilym Lee, Ben Hardy, Joseph Mazzello, Lucy Boynton, Aidan Gillen, Allen Leech, Tom Hollander, Mike Myers, Aaron McCusker, Meneka Das, Ace Bhatti, Priya Blackburn, Max Bennett, Dermot Murphy, Dickie Beau, Jack Roth, Neil Fox-Roberts, Jess Radomska, Michelle Duncan, Ross Green, Bruce Mackinnon, Joshua Higgott, Pat Lally, William Owen, Philip Andrew, Tim Plester, Felipe Bejarano, Kieran Hardcastle, Martin Oelbermann, Ian Gabriel Dumdum, Matt Greenwood, Royce Cronin, James MacLaren, Andrew Bowerman, Drew P., Haf Gibson, Honor Hellon, Rosy Benjamin, Leila Crerar, Katherine Newman, Adam Rauf, Peter Howe, John Ottman, James Wallace, Matthew Houston, Scott Morrison Watson, Stefan Kopiecki, Garry Summers, Matthew Fredricks, Ian Jareth Williamson, Adam Lazarus, Johanna Thea, Adam Lambert, Andreea Helen David, Jason Lines"
Carnage Park,57%  4.9 (3k),"Terror, Misterio & Suspense, Acción & Aventura, Crimen",1h 21min,,Mickey Keating,(2016),", Ashley Bell, Pat Healy, Darby Stanchfield, James Landry Hébert, Alan Ruck, Larry Fessenden, Bob Bancroft, Michael Villar, Graham Skipper, Andy Greene"
Chaplin,81%  7.5 (58k),"Drama, Comedia",2h 23min,APTA,Richard Attenborough,(1992),", Robert Downey Jr., Geraldine Chaplin, Paul Rhys, John Thaw, Moira Kelly, Anthony Hopkins, Dan Aykroyd, Marisa Tomei, Penelope Ann Miller, Kevin Kline, Maria Pitillo, Milla Jovovich, Kevin Dunn, Deborah Moore, Diane Lane, Nancy Travis, James Woods, Hugh Downer, Nicholas Gatt, Bill Paterson, Anthony Bowles, Bryan Coleman, Howard Lew Lewis, P.H. Moriarty, Brian Lipson, Alan Ford, Thomas Bradford, Liz Porter, Ultan Ely-O'Carroll, Marcus Eyre, Anwar Adaoui, Ben Bilson, Matthew Cartwright, Ian Covington, Adam Goodwin, Milly Gregory, Sam Holland, Josh Maguire, Daniel Sherman, Frankie Sullivan, Karen Salt, Gerald Sim, Una Brandon-Jones, Audrey Leybourne, Graham Sinclair, Karen Lewis, Andrée Bernard, Carole Jahme, Jacqueline Leonard, Claire Perriam, Theresa Petts, David Gant, Mary Healey, Malcolm Terris, Phil Brown, Matthew Cottle, Ena Baga, David Duchovny, Mario Govoni, David Mooney, C.J. Golden, Raymond Lynch, Peter Georges, Mike Randleman, Mike Peluso, Caroline Cornell, Ann Fairlie, Paul Hayes, Dennis Vero, Francesca Buller, Nick Corello, Richard Fast, Brad Blumenthal, Yoshio Be, Peter Crook, David Totheroh, Jack Totheroh, Jack Ritschel, Heather McNair, Paul Bruno Grenier, Marykate Harris, Charles Howerton, Jason Logan, Renata Scott, Michael Villani, Jerry Jensen, Larry Randolph"
Donnybrook,59%  5.4 (2k),"Crimen, Acción & Aventura, Drama, Misterio & Suspense",1h 41min,,Tim Sutton,(2019),", Frank Grillo, Margaret Qualley, James Badge Dale, Jamie Bell, Chris Browning, Pat Healy, James Landry Hébert, Adam Bartley, Dara Jade Tiller, Valerie Jane Parker, Kevin Crowley, David Myers Gregory, Rhyan Elizabeth Hanavan, Nathan Neorr, Ben Aycrigg, Sean Casey, Nick DeKay, Lydia Hand, Gina Dunlap"
Factotum,70%  6.6 (14k),"Drama, Comedia, Romance, Europeas",1h 34min,,Bent Hamer,(2005),", Matt Dillon, Lili Taylor, Marisa Tomei, Fisher Stevens, Didier Flamand, Adrienne Shelly, Karen Young, Thomas Lyons, Dean Brewington, James Cada, James Michael Detmar, Kurt Schweickhardt, Dee Noah, James Noah, Michael Egan, Terry Hempleman, Emily Hynnek, Wayne Morton, Tony Papenfuss, Lana Schwab, Sally Wingert, Robert Downing Davis, Bryan J. Walker, Dan Lee Jr., Peter Moore, Bruce Bohne, Larry Roupe, Chris Carlson, Stephen D'Ambrose, Emil Herrera, Michelle Hutchison, Andy Hubbell, Martin Marinaro, Raye Birk, Stephen Pelinski, Stanley Kipper, Brent Doyle, Jim Lichtscheidl, Punnavith Koy"
Frank Serpico,74%  6.9,Documental,1h 36min,,Antonino D'Ambrosio,(2017),", Frank Serpico, Janet Panetta, John Turturro, Stanislao Pugliese, Al Pacino, Dino De Laurentiis, John G. Avildsen"
Gimme The Loot,70%  6.6 (2k),"Drama, Comedia, Crimen",1h 19min,,Adam Leon,(2013),", Tashiana Washington, Ty Hickson, Zoë Lescaze, Sam Soghor, Meeko, Adam Metzger, Greyson Cruz, James Harris Jr., Joshua Rivera, Melvin Mogoli"
Graduation,1%,,,,,(2022),
Hellions,47%  4.2 (3k),"Terror, Misterio & Suspense, Drama",1h 20min,16,Bruce McDonald,(2016),", Chloe Rose, Rachel Wilson, Rossif Sutherland, Peter DaCunha, Robert Patrick, Luke Bilyk"
